quota,instcd,brcd,Cat,SubCat,TSeat,stcd1,stcd2,stcd3,stcd4,stcd5,stcd6,stcd7,stcd8,stcd9,stcd10
AI,DHA,ECE,ST,PH,1,,,,,,,,,,
AI,DHA,ECE,BC,NO,24,,,,,,,,,,
AI,DHA,ECE,BC,PH,1,,,,,,,,,,
AI,DHA,ELE,OP,NO,46,,,,,,,,,,
AI,DHA,ELE,OP,PH,1,,,,,,,,,,
AI,DHA,ELE,SC,NO,13,,,,,,,,,,
AI,DHA,ELE,SC,PH,1,,,,,,,,,,
AI,DHA,ELE,ST,NO,6,,,,,,,,,,
AI,DHA,ELE,ST,PH,0,,,,,,,,,,
AI,DHA,ELE,BC,NO,24,,,,,,,,,,
AI,DHA,ELE,BC,PH,1,,,,,,,,,,
AI,DHA,MEC,OP,NO,45,,,,,,,,,,
AI,DHA,MEC,OP,PH,2,,,,,,,,,,
AI,DHA,MEC,SC,NO,14,,,,,,,,,,
AI,DHA,MEC,SC,PH,0,,,,,,,,,,
AI,DHA,MEC,ST,NO,7,,,,,,,,,,
AI,DHA,MEC,ST,PH,0,,,,,,,,,,
AI,DHA,MEC,BC,NO,24,,,,,,,,,,
AI,DHA,MEC,BC,PH,0,,,,,,,,,,
AI,DJK,CSE,OP,NO,22,,,,,,,,,,
AI,DJK,CSE,OP,PH,1,,,,,,,,,,
AI,DJK,CSE,SC,NO,7,,,,,,,,,,
AI,DJK,CSE,SC,PH,0,,,,,,,,,,
AI,DJK,CSE,ST,NO,3,,,,,,,,,,
AI,DJK,CSE,ST,PH,0,,,,,,,,,,
AI,DJK,CSE,BC,NO,12,,,,,,,,,,
AI,DJK,CSE,BC,PH,0,,,,,,,,,,
AI,DJK,ECE,OP,NO,22,,,,,,,,,,
AI,DJK,ECE,OP,PH,1,,,,,,,,,,
AI,DJK,ECE,SC,NO,7,,,,,,,,,,
AI,DJK,ECE,SC,PH,0,,,,,,,,,,
AI,DJK,ECE,ST,NO,3,,,,,,,,,,
AI,DJK,ECE,ST,PH,0,,,,,,,,,,
AI,DJK,ECE,BC,NO,12,,,,,,,,,,
AI,DJK,ECE,BC,PH,0,,,,,,,,,,
AI,DJT,ARC,OP,NO,40,,,,,,,,,,
AI,DJT,ARC,OP,PH,0,,,,,,,,,,
AI,DJT,ARC,SC,NO,0,,,,,,,,,,
AI,DJT,ARC,SC,PH,0,,,,,,,,,,
AI,DJT,ARC,ST,NO,0,,,,,,,,,,
AI,DJT,ARC,ST,PH,0,,,,,,,,,,
AI,DJT,ARC,BC,NO,0,,,,,,,,,,
AI,DJT,ARC,BC,PH,0,,,,,,,,,,
AI,DJT,CSE,OP,NO,60,,,,,,,,,,
AI,DJT,CSE,OP,PH,0,,,,,,,,,,
AI,DJT,CSE,SC,NO,0,,,,,,,,,,
AI,DJT,CSE,SC,PH,0,,,,,,,,,,
AI,DJT,CSE,ST,NO,0,,,,,,,,,,
AI,DJT,CSE,ST,PH,0,,,,,,,,,,
AI,DJT,CSE,BC,NO,0,,,,,,,,,,
AI,DJT,CSE,BC,PH,0,,,,,,,,,,
AI,DJT,ECE,OP,NO,60,,,,,,,,,,
AI,DJT,ECE,OP,PH,0,,,,,,,,,,
AI,DJT,ECE,SC,NO,0,,,,,,,,,,
AI,DJT,ECE,SC,PH,0,,,,,,,,,,
AI,DJT,ECE,ST,NO,0,,,,,,,,,,
AI,DJT,ECE,ST,PH,0,,,,,,,,,,
AI,DJT,ECE,BC,NO,0,,,,,,,,,,
AI,DJT,ECE,BC,PH,0,,,,,,,,,,
AI,DJT,IBT,OP,NO,20,,,,,,,,,,
AI,DJT,IBT,OP,PH,0,,,,,,,,,,
AI,DJT,IBT,SC,NO,0,,,,,,,,,,
AI,DJT,IBT,SC,PH,0,,,,,,,,,,
AI,DJT,IBT,ST,NO,0,,,,,,,,,,
AI,DJT,IBT,ST,PH,0,,,,,,,,,,
AI,DJT,IBT,BC,NO,0,,,,,,,,,,
AI,DJT,IBT,BC,PH,0,,,,,,,,,,
AI,DJT,MEC,OP,NO,60,,,,,,,,,,
AI,DJT,MEC,OP,PH,0,,,,,,,,,,
AI,DJT,MEC,SC,NO,0,,,,,,,,,,
AI,DJT,MEC,SC,PH,0,,,,,,,,,,
AI,DJT,MEC,ST,NO,0,,,,,,,,,,
AI,DJT,MEC,ST,PH,0,,,,,,,,,,
AI,DJT,MEC,BC,NO,0,,,,,,,,,,
AI,DJT,MEC,BC,PH,0,,,,,,,,,,
AI,DMU,COE,OP,NO,7,,,,,,,,,,
AI,DMU,COE,OP,PH,1,,,,,,,,,,
AI,DMU,COE,SC,NO,3,,,,,,,,,,
AI,DMU,COE,SC,PH,0,,,,,,,,,,
AI,DMU,COE,ST,NO,4,,,,,,,,,,
AI,DMU,COE,ST,PH,0,,,,,,,,,,
AI,DMU,COE,BC,NO,0,,,,,,,,,,
AI,DMU,COE,BC,PH,0,,,,,,,,,,
AI,DMU,ECE,OP,NO,7,,,,,,,,,,
AI,DMU,ECE,OP,PH,1,,,,,,,,,,
AI,DMU,ECE,SC,NO,3,,,,,,,,,,
AI,DMU,ECE,SC,PH,0,,,,,,,,,,
AI,DMU,ECE,ST,NO,4,,,,,,,,,,
AI,DMU,ECE,ST,PH,0,,,,,,,,,,
AI,DMU,ECE,BC,NO,0,,,,,,,,,,
AI,DMU,ECE,BC,PH,0,,,,,,,,,,
AI,DMU,ELE,OP,NO,7,,,,,,,,,,
AI,DMU,ELE,OP,PH,1,,,,,,,,,,
AI,DMU,ELE,SC,NO,3,,,,,,,,,,
AI,DMU,ELE,SC,PH,0,,,,,,,,,,
AI,DMU,ELE,ST,NO,4,,,,,,,,,,
AI,DMU,ELE,ST,PH,0,,,,,,,,,,
AI,DMU,ELE,BC,NO,0,,,,,,,,,,
AI,DMU,ELE,BC,PH,0,,,,,,,,,,
AI,DMU,ITY,OP,NO,7,,,,,,,,,,
AI,DMU,ITY,OP,PH,1,,,,,,,,,,
AI,DMU,ITY,SC,NO,3,,,,,,,,,,
AI,DMU,ITY,SC,PH,0,,,,,,,,,,
AI,DMU,ITY,ST,NO,4,,,,,,,,,,
AI,DMU,ITY,ST,PH,0,,,,,,,,,,
AI,DMU,ITY,BC,NO,0,,,,,,,,,,
AI,DMU,ITY,BC,PH,0,,,,,,,,,,
AI,DPU,CHE,OP,NO,12,,,,,,,,,,
AI,DPU,CHE,OP,PH,0,,,,,,,,,,
AI,DPU,CHE,SC,NO,4,,,,,,,,,,
AI,DPU,CHE,SC,PH,0,,,,,,,,,,
AI,DPU,CHE,ST,NO,1,,,,,,,,,,
AI,DPU,CHE,ST,PH,1,,,,,,,,,,
AI,DPU,CHE,BC,NO,7,,,,,,,,,,
AI,DPU,CHE,BC,PH,0,,,,,,,,,,
AI,DPU,CSE,OP,NO,25,,,,,,,,,,
AI,DPU,CSE,OP,PH,1,,,,,,,,,,
AI,DPU,CSE,SC,NO,7,,,,,,,,,,
AI,DPU,CSE,SC,PH,0,,,,,,,,,,
AI,DPU,CSE,ST,NO,4,,,,,,,,,,
AI,DPU,CSE,ST,PH,0,,,,,,,,,,
AI,DPU,CSE,BC,NO,13,,,,,,,,,,
AI,DPU,CSE,BC,PH,0,,,,,,,,,,
AI,DPU,ECE,OP,NO,13,,,,,,,,,,
